不学无术,学：学问；术：技能。原指没有学问因而没有办法。现指没有学问，没有本领。
谈情说爱,谈恋爱。
百业萧条,萧条：冷落、凋敝。指各行各业都很冷落、不兴旺。形容社会的衰败。
尽如人意,尽：人；如：依照，符合。事情完全符合人的心意。
不骄不躁,不骄傲，不急躁。
望风披靡,披靡：草木随风倒伏。草一遇到风就倒伏了。比喻军队毫无斗志，老远看到对方的气势很盛，没有交锋就溃散了。
渴骥奔泉,骥：骏马。如同骏马口渴思饮，飞快奔赴甘泉一般。形容书法笔势矫健。也比喻迫切的欲望。
三三五五,三个一群，五个一伙。
深情厚意,深厚的感情和友谊。
永志不忘,永远记住，不遗忘。
金迷纸醉,形容剥削阶级奢侈豪华的生活。
切中时弊,切：切合；中：恰好对上；弊：害处。指发表的言论正好击中当时社会的弊病。
耳顺之年,六十岁时听别人言语便可判断是非真假。指60岁的代称
盘马弯弓,驰马盘旋，张弓要射。形容摆开架势，准备作战。后比喻故做惊人的姿态，实际上并不立即行动。
千真万确,形容情况非常确实。
为人作嫁,原意是说穷苦人家的女儿没有钱置备嫁衣，却每年辛辛苦苦地用金线刺乡，给别人做嫁衣。比喻空为别人辛苦。
豹死留皮,豹子死了，皮留在世间。比喻将好名声留传于后世。
愁眉不展,展：舒展。由于忧愁而双眉紧锁。形容心事重重的样子。
探头探脑,探：头或上体向前伸出。伸着头向左右张望。形容鬼鬼祟祟的探望。
雄材大略,杰出的才能和伟大的谋略。
恶衣恶食,恶：粗劣的。指粗劣的衣服和食物。
高高在上,原指地位高，现在形容领导者脱离实际，脱离群众。
支离破碎,支离：零散，残缺。形容事物零散破碎，不完整。
汗牛充栋,栋：栋宇，屋子。书运输时牛累得出汗，存放时可堆至屋顶。形容藏书非常多。
温文尔雅,温文：态度温和，有礼貌；尔雅：文雅。形容人态度温和，举动斯文。现有时也指缺乏斗争性，做事不大胆泼辣，没有闯劲。
松形鹤骨,形容仪容清癯、轩昂。
猫鼠同眠,猫同老鼠睡在一起。比喻官吏失职，包庇下属干坏事。也比喻上下狼狈为奸。
精力充沛,体力强盛，精神充足。
道义之交,交：交情，友谊。有道德有正义感的交往和友情。指互相帮助，互相支持的朋友。
鸡零狗碎,形容事物零碎细小。
念兹在兹,念：思念；兹：此，这个。泛指念念不忘某一件事情。
志士仁人,原指仁爱而有节操，能为正义牺牲生命的人。现在泛指爱国而为革命事业出力的人。
论功封赏,论：按照。按功劳的大小给于奖赏。
毕恭毕敬,形容十分恭敬的样子
赏不当功,谓赏赐与功劳不相称。
风云突变,风云：比喻变幻动荡的局势。局势突然发生了变化。
昏头晕脑,见“昏头昏脑”。
风流儒雅,风流：有文采且不拘礼法；儒雅：学识深湛，气度不凡。指人文雅洒脱，学识渊博。
万古长青,万古：千秋万代。千秋万代都象松柏一样永远苍翠。比喻崇高的精神或深厚的友谊永远不会消失。
赍志以殁,见“赍志而殁”。
梦幻泡影,佛教用语。认为世界上的事物都象梦境、幻术、水泡和影子一样空虚。后比喻空虚而容易破灭的幻想。
哭丧着脸,心里不愉快，脸上显出不高兴的样子。
一鳞半爪,原指龙在云中，东露一鳞，西露半爪，看不到它的全貌。比喻零星片段的事物。
沥胆披肝,比喻开诚相见。也形容非常忠诚。
欢喜冤家,指似怨恨而实相爱的恋人或夫妻
零敲碎打,形容以零零碎碎、断断续续的办法做事。
道听途说,道、途：路。路上听来的、路上传播的话。泛指没有根据的传闻。
物美价廉,廉：便宜。东西价钱便宜，质量又好。
发聋振聩,聩：耳聋。声音很大，连耳聋的人也听得见。比喻用语言文字唤醒麻木的人。
雄伟壮观,气势伟大美丽
数一数二,不算第一也算第二。形容突出。
看破红尘,旧指看透人生，把生死哀乐都不放在心上的消极的生活态度。现也指受挫折后消极回避、无所作为的生活态度。
急起直追,立即行动起来，努力追赶上去。
赤身裸体,赤：光着。大部分身体或全身裸露
不知凡几,凡：总共。不知道一共有多少。指同类的事物很多。
至死不变,纛：到。到死不改变（现常用在坏的方面）。
动荡不安,荡：摇动。动荡摇摆，不安定。形容局势不稳定，不平静。
无边无垠,见“无边无际”。
至善至美,至：最。最完善，最美好。
狂妄自大,狂妄：极端的自高自大。指极其放肆，自高自大，自中无人。
娇生惯养,娇：宠爱；惯：姑息。从小就被溺爱与纵容
男尊女卑,尊：地位高；卑：低下。在封建社会里男子地位高，女子地位卑下。这是重男轻女的不平等封建礼教。
图谋不轨,不轨：越出常轨，不守法度。谋划越出常规、法度之事。
民康物阜,人民平安，物产丰富。
比翼双飞,比翼：翅膀挨着翅膀。双飞：成双的并飞。比喻夫妻情投意合，在事业上并肩前进。
高义薄云,薄：迫近。原指文章表达的内容很有意义。后形容人很讲义气。
饥肠辘辘,饥肠：饥饿的肚子；辘辘：车行声。肚子饿得咕咕直响。形容十分饥饿。
汗马之功,谓战功。
协力同心,心：思想；协：合。团结一致，共同努力。
经天纬地,规划天地。形容人的才能极大，能做非常伟大的事业。
走马观花,走马：骑着马跑。骑在奔跑的马上看花。原形容事情如意，心境愉快。后多指大略地观察一下。
不足与谋,与：和。不值得和他商量。
怏怏不悦,悦：愉悦，快乐。因不满意而很不快乐。
举一反三,反：类推。比喻从一件事情类推而知道其他许多事情。
祸不单行,指不幸的事接二连三地发生。
汗马之劳,①指征战的劳苦。亦指战功。②指用马运输的劳累。
恨入骨髓,形容痛恨到极点。
允执厥中,谓言行符合不偏不倚的中正之道。
孤家寡人,三代帝王的自称。后指脱离群众，孤立无助的人。
喜逐颜开,逐：追随；颜：脸面，面容。形容十分喜悦，满脸笑容。
一览无遗,览：看。遗：遗漏。一眼望去，一切事情都看到了，无一遗漏。亦作“一览无余”。
淡然置之,很冷淡地放在一旁。形容毫不在意。
千姿万态,见“千姿百态”。
意兴阑珊,阑珊：衰落。将残、将尽的意思。
优游自在,悠闲舒适。
人之常情,一般人通常有的感情。
议论纷纷,纷纷：杂乱的样子。各种意见的言论多而杂乱。
有朝一日,将来有那么一天。
真枪实弹,战场上使用的武器弹药。多比喻实战。
大肆铺张,为了形式上的好看，不顾一切地过分讲究排场
乘虚而入,虚：空隙。趁着空隙或无人防范而进入
步步高升,步步：表示距离很短；高升：往上升。指职位不断上升
全力以赴,赴：前往。把全部力量都投入进去。
轻于鸿毛,鸿毛：大雁的毛。比大雁的毛还轻。比喻毫无价值。
一叶知秋,从一片树叶的凋落，知道秋天的到来。比喻通过个别的细微的迹象，可以看到整个形势的发展趋向与结果。
议论纷纭,形容意见不一，议论很多。
过眼云烟,从眼前飘过的云烟。原比喻身外之物，不必重视。后比喻很快就消失的事物。
来势汹汹,动作或事物到来的气势很厉害
播弄是非,挑拨是非。是非：纠纷，口舌。
应付裕如,应付：对付，处置。裕如：按自己的心愿做事。从容对付，毫不费劲。
趑趄不前,趑趄：迟疑不敢前进。形容犹豫畏缩不敢前进。
叹为观止,叹：赞赏；观止：看到这里就够了。指赞美所见到的事物好到了极点。
一片丹心,一片红心。指忠诚之心。
板上钉钉,比喻事情已经决定，不能改变。
参差不齐,长短、高低不齐。形容水平不一或很不整齐。
光阴荏苒,荏苒：时间一点一点的流逝。指时间渐渐地过去了。
不甚了了,甚：很；了了：明白。不很明白，不很懂。
天高地厚,原形容天地的广大，后形容恩德极深厚。也比喻事情的艰巨、严重，关系的重大。
三三两两,三个两个地在一起。形容人数不多。
忆苦思甜,回忆过去的苦难，回想今天的幸福生活。
变化无穷,形容不断变化，没有止境。
残渣余孽,比喻残存的坏人或没有消灭干净的恶势力。
正襟危坐,襟：衣襟；危坐：端正地坐着。整一整衣服，端正地坐着。形容严肃或拘谨的样子。
山珍海味,海错：指各种海味。山野和海里出产的各种珍贵食品。泛指丰富的菜肴。
噬脐何及,噬脐：用嘴咬肚脐。象咬自己肚脐似的，够不着。比喻后悔也来不及。
永无止境,止境：尽头。永远没有到头的时候。
并驾齐驱,并驾：几匹马并排拉着一辆车；齐驱：一齐快跑。并排套着的几匹马一齐快跑。比喻彼此的力量或才能不分高下。
坐失良机,不主动及时行动而失去好机会。
发人深省,发：启发；省：醒悟。启发人深刻思考，有所醒悟。
燃眉之急,燃：烧。火烧眉毛那样紧急。形容事情非常急迫。
沧海横流,沧海：指大海；横流：水往四处奔流。海水四处奔流。比喻政治混乱，社会动荡。
明目张胆,明目：睁亮眼睛；张胆：放开胆量。原指有胆识，敢做敢为。后形容公开放肆地干坏事。
不近人情,不合乎人的常情。也指性情或言行怪僻。
天各一方,指各在天底下的一个地方。形容相隔极远，见面困难。
临崖勒马,走到悬崖边缘勒住了奔马。①比喻到了危险边缘能及时醒悟回头。②比喻运用笔墨，当意境入近高潮时，突然煞住笔锋。亦作“悬崖勒马”、“勒马悬崖”。
云开雾散,见“云消雾散”。
习非成是,对某些错误事情习惯了，反以为本来就是对的。
牙牙学语,形容婴儿咿咿呀呀地学大人说话的神情。
子虚乌有,子虚：并非真实；乌有：哪有。指假设的、不存在的、不真实的事情。
爱富嫌贫,嫌：厌恶。嫌弃贫穷，喜爱富有。指对人的好恶以其贫富为准
改弦更张,更：改换；张：给乐器上弦。改换、调整乐器上的弦，使声音和谐。比喻改革制度或变更计划、方法。
开国功臣,指为建立新的国家或朝代立下汗马功劳的人。
天下第一,形容没有人能比得上。
兴趣盎然,形容兴趣浓厚。
斤斤计较,斤斤：形容明察，引申为琐细。过分计较无关紧要的小事
风雨如晦,指白天刮风下雨，天色暗得象黑夜一样。形容政治黑暗，社会不安。
胡搅蛮缠,不讲道理，纠缠不放。
罪大恶极,罪恶大到了极点。
曲突徙薪,曲：弯；突：烟囱；徒：迁移；薪：柴草。把烟囱改建成弯的，把灶旁的柴草搬走。比喻事先采取措施，才能防止灾祸。
青梅竹马,青梅：青的梅子；竹马：儿童以竹竿当马骑。形容小儿女天真无邪玩耍游戏的样子。现指男女幼年时亲密无间。 
甜言蜜语,象蜜糖一样甜的话。比喻为了骗人而说得动听的话。
不破不立,不破除旧的，就不能建立新的。
奔走相告,指有重大的消息时，人们奔跑着相互转告。
横眉冷目,愤怒、轻蔑的样子。同“横眉冷眼”。 
风风雨雨,刮风下雨，比喻重重阻难或议论纷纷
伏龙凤雏,伏龙：（卧龙）诸葛孔明。凤雏：庞士元。两人都是汉末三国时期著名的谋略家，军事家。后指隐而未现的有较高学问和能耐的人。
落拓不羁,形容人性情豪放，行为散漫。
舞文弄法,舞、弄：耍弄，玩弄；文：法令条文；法：法律。歪曲法律条文，舞弊徇私。
昂首望天,仰起头，望着天。喻指眼光向上，作风浮泛，不肯放下架子、深入基层。
无独有偶,独：一个；偶：一双。不只一个，竟然还有配对的。表示两事或两人十分相似。
死心塌地,原指死了心，不作别的打算。后常形容打定了主意，决不改变。
难言之隐,隐藏在内心深处不便说出口的原因或事情。
聊以解嘲,姑且用来解释被人嘲笑的事情。
专心一意,一心一意。
不遗余力,遗：留；余力：剩下的力量。把全部力量都使出来，一点不保留。
吹气如兰,见“吹气胜兰”。
推陈出新,指对旧的文化进行批判地继承，剔除其糟粕，吸取其精华，创造出新的文化。
后会有期,期：时间。以后有见面的时候（用在分别时安慰对方）。
称兄道弟,朋友间以兄弟相称。形容关系亲密。
天昏地暗,昏：天黑。天地昏黑无光。形容刮大风时漫天沙土的景象。也比喻政治腐败，社会黑暗。
众望所归,众望：众人的希望；归：归向。大家一致期望的。指得到群众的信任。
应对如流,对答象流水一样。形容答话很快，很流利。
心神不定,定：安定。心里烦躁，精神不安。
一掷千金,指用钱满不在乎，一花就是一大笔。
归去来兮,归：返回。回去吧。指归隐乡里。
两肋插刀,两边肋骨插上刀，表示不怕死。比喻承担极大的牺牲
无论如何,不管怎样。
真刀真枪,①真实的刀枪。②比喻毫不作假，实实在在。
弹冠相庆,弹冠：掸去帽子上的灰尘，准备做官。指官场中一人当了官或升了官，同伙就互相庆贺将有官可做。
漫天叫价,犹漫天要价。
因人而异,因人的不同而有所差异。
威迫利诱,用软硬兼施的手段，企图使人屈服。
面面相觑,你看我，我看你，不知道如何是好。形容人们因惊惧或无可奈何而互相望着，都不说话。
文风不动,一点儿也不动。形容没有丝毫损坏或改变。
大家风范,大家：旧指有声望地位的高门贵族。风范：风度、气派。出自高贵人家特有的气派。
窈窕淑女,窈窕：美好的样子。美好的女子。
不约而同,约：相约。事先没有约定而相互一致。
惘然若失,惘然：失意的样子。心情不舒畅，好象丢掉了什么东西似的。
一钱太守,比喻值得称赞的廉洁的官吏。或讥讽那些贪官污吏贪财 
日久年深,指日子长，时间久。
趁火打劫,趁：乘机。趁人家失火时去抢劫。比喻乘人之危谋取私利。
土生土长,当地生长的。
心潮澎湃,澎湃：波涛冲击的声音。心里象浪潮翻腾。形容心情十分激动，不能平静。
前功尽弃,功：功劳；尽：完全；弃：丢失。以前的功劳全部丢失。也指以前的努力全部白费。
知难而退,原指作战要见机而行，不要做实际上无法办到的事。后泛指知道事情困难就后退。
载歌载舞,边唱歌，边跳舞。形容尽情欢乐。
马革裹尸,马革：马皮。用马皮把尸体裹起来。指英勇牺牲在战场。
青枝绿叶,①青绿色的枝叶。多指生长茂盛的树木。②比喻年轻。
不时之需,不时：不定什么时候。说不定什么时候会需要
含笑九泉,九泉：地下深处，旧指人死之后埋葬的地方。也作：“黄泉”。在九泉之下满含笑容。表示死后也感到欣慰和高兴。
吐气扬眉,形容受压抑的心情得以舒展而感到快意。
上窜下跳,比喻坏人上下奔走，四处活动。
设身处地,设：设想。设想自己处在别人的那种境地。指替别人的处境着想。
惴惴不安,惴：忧愁、恐惧。形容因害怕或担心而不安。
成群结队,成：成为，变成。一群群人集合在一起。
目光炯炯,炯炯：明亮的样子。两眼明亮有神。
行尸走肉,行尸：可以走动的尸体；走肉：会走动而没有灵魂的躯壳。比喻不动脑筋，不起作用，糊里糊涂过日子的人。
忙忙碌碌,见“忙碌碌”。
一扫而光,一下子就扫除干净。
持之有故,持：持论，主张；有故：有根据。指所持的见解和主张有一定的根据。
以毒攻毒,攻：治。中医用语，指用含有毒性的药物治疗毒疮等恶性病。比喻利用不良事物本身的矛盾来反对不良事物，或利用恶人来对付恶人。
宾朋满座,座：坐位。宾客朋友坐满了席位。形容朋友很多
旗鼓相当,比喻双方力量不相上下。
单枪匹马,原指打仗时一个人上阵。比喻行动没人帮助。
言必有中,中：正对上。指一说话就能说到点子上。
依草附木,原指鬼神有所依凭，擅作威福。后比喻凭借他人势力，为非作歹。也比喻不能自立，依靠别人。
张口结舌,结舌：舌头不能转动。张着嘴说不出话来。形容理屈词穷，或因紧张害怕而发愣。
白面书生,指缺乏阅历经验的读书人。也指面孔白净的读书人。
受益匪浅,受益匪浅，匪：通“非”，指收获不小，有很大的收获，一般指意识形态方面。

以人废言,由于人不好，对其言论也加以否定。
虎口拔牙,比喻做十分危险的事情。
未能免俗,没能够摆脱开自己不以为然的风俗习惯。
天摇地动,形容威力或声势极大。
若有所失,好象丢了什么似的。形容心神不定的样子。也形容心里感到空虚。
纤尘不染,原指佛教徒修行时，排除物欲，保持心地洁净。现泛指丝毫不受坏习惯，坏风气的影响。也用来形容非常清洁、干净。
锣鼓喧天,喧：声音大。锣鼓震天响。原指作战时敲锣击鼓指挥进退。后多形容喜庆、欢乐的景象。
字正腔圆,形容吐字准确，唱腔圆熟。
奇耻大辱,奇：异常。极大的耻辱。
言无不尽,把内心的话说尽，毫不保留。
阿谀奉承,阿谀：用言语恭维别人；奉承：恭维，讨好。曲从拍马，迎合别人，竭力向人讨好。
和风细雨,和风：指春天的风。温和的风，细小的雨。比喻方式和缓，不粗暴。
曾参杀人,比喻流言可畏。
计上心来,计谋涌上心头
率兽食人,率：带领。带着野兽来吃人。比喻统治者虐害人民。
风清弊绝,贪污、舞弊的事情没有了。形容坏事绝迹，社会风气良好。
出卖灵魂,比喻以一个人的灵魂去换取荣誉、地位等
满园春色,整个园子里一片春天的景色。比喻欣欣向荣的景象。
赤身露体,指露出大部分身子，也指全身裸露，一丝不挂。
大巧若拙,拙：笨。指真正聪明的人，不显露自己，从表面看，好象笨拙。
眉来眼去,形容用眉眼传情。
热气腾腾,热气盛大。比喻情绪高涨，气氛热烈。
人单势孤,人数少，力量单薄。
茹毛饮血,茹：吃。用来描绘原始人不会用火，连毛带血地生吃禽兽的生活。
佳儿佳妇,指好儿子，好媳妇。
风口浪尖,比喻激烈、尖锐的社会斗争前哨。
默默无闻,默默：没有声息；闻：出名。指无声无息，无人知晓
折节下士,折节：屈己下人。屈己下人，尊重有见识有能力的人。
莺飞燕舞,莺燕飞舞。象征春光明媚。
一触即发,触：碰；即：就。原指把箭扣在弦上，拉开弓等着射出去。比喻事态发展到了十分紧张的阶段，稍一触动就立即会爆发。
衣不蔽体,蔽：遮。衣服破烂，连身子都遮盖不住。形容生活贫苦。
八万四千,本为佛教表示事物众多的数字，后用以形容极多。
点石成金,比喻修改文章时稍稍改动原来的文字，就使它变得很出色。
桀骜不驯,性情强暴不驯顺。
蜂拥而上,形容许多人一起涌上来
偃武修文,偃：停止；修：昌明，修明。停止武事，振兴文教。
将错就错,指事情已经做错了，索性顺着错误继续做下去。
至死不悟,至：到；悟：醒悟。到死也不醒悟。
姑妄听之,姑：暂且；妄：随便，胡乱。姑且随便听听，不一定就相信。
地大物博,博：丰富。指国家疆土辽阔，资源丰富。
丧魂失魄,失去了魂魄。形容非常惊慌或心神不宁的样子。
死气沉沉,形容气氛不活泼。也形容人精神消沉，不振作。
安居乐业,安：安定；居：居所；乐：喜爱，愉快；业：职业。指安定地生活，愉快地从事其职业
血肉横飞,形容发生爆炸等灾祸时，死伤者血肉四溅的惨状。
温情脉脉,脉脉：默默地用眼神或行动表达情意。形容饱含温和的感情，很想表露出来的样子。
个中滋味,个中：其中；滋味：味道，情味。其中的味道。指切身体会的甘苦。
时来运转,旧指时机来了，命运也有了转机。指境况好转。
朝秦暮楚,战国时期，秦楚两个诸侯大国相互对立，经常作战。有的诸侯小国为了自身的利益与安全，时而倾向秦，时而倾向楚。比喻人反复无常。
雍荣华贵,形容态度文雅从容，庄重大方。
过眼烟云,从眼前飘过的云烟。原比喻身外之物，不必重视。后比喻很快就消失的事物。
遥相呼应,远远地互相联系，互相配合。
吃穿用度,指日常衣食费用。
花花公子,指衣着华丽，只会吃喝玩乐，不务正业的、有钱有势人家的女弟。
交臂失之,比喻遇到了机会而又当面错过。
一鼓作气,一鼓：第一次击鼓；作：振作；气：勇气。第一次击鼓时士气振奋。比喻趁劲头大的时候鼓起干劲，一口气把工作做完。
倚财仗势,倚、仗：凭借。倚仗着自己的财产和势力。
结发夫妻,结发：束发，意即年轻时。年轻时结成的夫妻。指原配夫妻。
自甘堕落,自己甘心思想行为向坏的方向发展
缚鸡之力,捆鸡的力量。比喻体弱无力。
百发百中,形容射箭或打枪准确，每次都命中目标。也比喻做事有充分把握。
胆大心细,形容办事果断，考虑周密。
干柴烈火,形容男女之间强烈情欲要求，多用于不正当的男女关系。也形容情绪高涨。
晕头转向,晕：头发昏；转向：辨不清方向。头脑发晕，辨不清方向。形容糊里糊涂或惊惶失措。
琳琅满目,琳琅：精美的玉石。满眼都是珍贵的东西。形容美好的事物很多。
求同存异,求：寻求；存：保留；异：不同的。找出共同点，保留不同意见。
竖起脊梁,比喻振作精神。
捉襟见肘,拉一拉衣襟，就露出臂肘。形容衣服破烂。比喻顾此失彼，穷于应付。
眉目传情,用眉眼的活动向对方表达自己的情意。常用来形容用眼色表示爱情。参见“眉来眼去”。
各尽所能,各人尽自己的能力去做。
劳师动众,劳：疲劳，辛苦；师、众：军队；动：出动，动员。原指出动大批军队，现指动用很多人力。
三足鼎立,比喻三方面对立的局势。
不知肉味,原指被美妙的音乐所陶醉，因而辨不出肉味。后形容专心学习，吃东西辨不出味道。也形容生活困难，无肉可吃。
牵强附会,把本来没有某种意义的事物硬说成有某种意义。也指把不相关联的事物牵拉在一起，混为一谈。
良药苦口,好药往往味苦难吃。比喻衷心的劝告，尖锐的批评，听起来觉得不舒服，但对改正缺点错误很有好处。
独来独往,独身往来，不与人为伍。比喻事事不与人相同
横冲直撞,乱冲乱撞，蛮横无理。
古木参天,参天：高入云天。古老的树木枝茂叶繁异常高大。
无人之境,没有人居住的地方。
无恶不作,没有哪件坏事不干的。指干尽了坏事。
津津乐道,津津：兴趣浓厚。形容很有兴趣地说个不停
肝肠寸断,比喻伤心到极点。
泪如泉涌,眼泪象泉水一样直往外涌。形容悲痛或害怕之极。
扶弱抑强,扶助弱小，压制强暴。
此伏彼起,这里起来，那里下去。形容接连不断。
无所作为,作为：作出成绩。没有做出任何成绩。指工作中安于现状，缺乏创造性。
承上启下,承：承接；启：引导，引出、承接上面的，引出下面的
相亲相爱,形容关系密切，感情深厚。
流芳千古,指美名永远流传下去
为国为民,指不谋私利，为国家和人民效力。
深明大义,谓识大体，顾大局。
兵强马壮,形容军队实力强，富有战斗力。
反复无常,反复：颠过来倒过去；无常：没有常态。经常变化没有稳定状态，形容情况变来变去没有定准
急不及待,见“急不可待”。
登高望远,登上高处，看得更远。也比喻思想境界高，目光远大。
永无宁日,永远没有安宁的翌日，指社会不安
人声鼎沸,鼎：古代煮食器；沸：沸腾。形容人群的声音吵吵嚷嚷，就象煮开了锅一样。
气喘吁吁,形容呼吸急促，大声喘气。
连锁反应,连锁：像锁链似的一环扣一环。比喻相关的事物发生相应的变化
方便之门,原是佛教指引人入教的门径，后指给人方便的门路。
半工半读,一面劳动一面学习的个人学习方案。 
寸土必争,即使是一点点土地，也要和敌人争夺。形容对敌斗争毫不退让。
无理取闹,毫无理由地跟人吵闹。指故意捣乱。
贪得无厌,厌：满足。贪心永远没有满足的时候。
模棱两可,模棱：含糊，不明确；两可：可以这样，也可以那样。指不表示明确的态度，或没有明确的主张。
有口无心,嘴上说了，心里可没那样想。指不是有心说的。
渺无音讯,指毫无消息
几次三番,番：次。一次又一次。
畅通无阻,毫无阻碍地通行或通过。
倾家荡产,倾：倒出；荡：扫除，弄光。全部家产都被弄光了。
略胜一筹,筹：筹码。比较起来，稍微强一些
长夜漫漫,漫漫：无边际的样子。漫长的黑夜无边无际。多用来比喻社会的黑暗。
游谈无根,谓没有根据信口乱说。
鱼米之乡,指盛产鱼和稻米的富饶地方。
走马上任,走马：骑着马跑；任：职务。旧指官吏到任。现比喻接任某项工作。
死去活来,指因极度的疼痛或悲哀，晕过去，又醒过来。多形容被打得很惨，或哭得很厉害。
喜闻乐见,喜欢听，乐意看。指很受欢迎。
灿烂辉煌,灿烂：鲜明耀眼。形容光彩四射，鲜明耀眼。也比喻成绩卓著，十分引人注目。
鸡飞狗跳,把鸡吓得飞起来，把狗吓得到处乱跳。形容惊慌得乱成一团
精打细算,打：规划。精密地计划，详细地计算。指在使用人力物力时计算得很精细。
随心所欲,欲：想要。随着自己的意思，想要干什么就干什么。
引而不发,引：拉弓；发：射箭。拉开弓却不把箭射出去。比喻善于启发引导。也比喻做好准备暂不行动，以待时机。
大勇若怯,怯：怯儒。最勇敢的人看外表好象很胆怯的样子。形容真正勇敢的人沉着冷静。
拈轻怕重,指接受任务时拣轻的担子挑，怕挑重担。
鸟枪换炮,形容情况或条件有很大的好转。
十载寒窗,载：年。指长期苦读。
以邻为壑,拿邻国当做大水坑，把本国的洪水排泄到那里去。比喻只图自己一方的利益，把困难或祸害转嫁给别人。
食不下咽,食物虽在口中但咽不下去。形容忧心忡忡，不思饮食。
土崩瓦解,瓦解：制瓦时先把陶土制成圆筒形，分解为四，即成瓦，比喻事物的分裂。象土崩塌，瓦破碎一样，不可收拾。比喻彻底垮台。
铮铮铁汉,指刚正不阿、坚强不屈的人。
十拿九稳,比喻很有把握。
口诛笔伐,从口头和书面上对坏人坏事进行揭露和声讨。
生拉硬扯,形容说话或写文章牵强附会。也形容用力拉扯，勉强别人听从自己。
毁于一旦,一旦：一天。指来之不易的东西一下子被毁掉
分毫不差,分毫：形容很少的数量，十丝为一毫，十毫为一厘，十厘为一分。差：差
将计就计,利用对方计策向对方施计
三缄其口,缄：封。在他嘴上贴了三张封条。形容说话谨慎。现在也用来形容不肯或不敢开口。
心手相应,形容手法熟练，心里怎么想，手就怎么做。
三长两短,指意外的灾祸或事故。特指人的死亡。
抑强扶弱,抑：压制；扶：帮助。压制强暴，扶助弱小。
浑身解数,浑身：全身，指所有的；解数：那套数，指武艺。所有的本领，全部的权术手腕。
兴致勃勃,兴致：兴趣；勃勃：旺盛的样子。形容兴头很足。
龙生九子,古代传说，龙生有九子，九子不成龙，各有所好。比喻同胞兄弟品质、爱好各不相同。
灯火辉煌,形容夜晚灯光明亮的繁华景象。
亲密无间,间：缝隙。关系亲密，没有隔阂。形容十分亲密，没有任何隔阂。
出类拔萃,拔：超出；类：同类；萃：原为草丛生的样子，引伸为聚集。超出同类之上。多指人的品德才能。
言外之意,指有这个意思，但没有在话里明说出来。
按部就班,部、班：门类，次序；就：归于。按照一定的步骤、顺序进行。也指按老规矩办事，缺乏创新精神。
威信扫地,威信：威望和信誉。威望、信誉全部丧失。比喻威望和信誉完全丧失。
一鸣惊人,鸣：鸟叫。一叫就使人震惊。比喻平时没有突出的表现，一下子做出惊人的成绩。
百无一失,形容有充分把握，绝对不会出差错。
持之以恒,持：保持，坚持；之：代词，指要坚持的东西；恒：长久，恒心。有恒心，长期坚持下去
借尸还魂,比喻已经消灭或没落的事物又以另一种形式出现。
饥不择食,不管什么都吃。比喻需要急迫，顾不得选择。
迫在眉睫,形容事情已到眼前，情势十分紧迫。
狐朋狗友,泛指一些吃喝玩乐、不务正业的朋友。
天罗地网,天罗：张在空中捕鸟的网。天空地面，遍张罗网。指上下四方设置的包围圈。比喻对敌人、逃犯等的严密包围。
众寡悬殊,形容双方人力的多少相差极大。
彩凤随鸦,比喻女子嫁给才貌配不上好的人。
花里胡哨,形容颜色过分鲜艳繁杂。也比喻浮华而不实在。
名正言顺,指名分正当，说话顺理成章。后多指说话做事理由正当而充分
含糊其辞,糊：不明确，不清楚；辞：同“词”，言辞。指话说得不清不楚，含含糊糊
胡言乱语,指没有根据，不符实际的瞎说，或说胡话。
博古通今,通：通晓；博：广博，知道得多。对古代的事知道得很多，并且通晓现代的事情。形容知识丰富。
正大光明,心怀坦白，言行正派。
势在必行,行：做。从事情发展的趋势看，必须采取行动。
引玉之砖,自己表示谦虚的话。比喻为了引出别人高明的意见而发表的粗浅的不成熟的意见。
讨价还价,讨：索取。买卖东西，卖主要价高，买主给价低，双方要反复争议。也比喻在进行谈判时反复争议，或接受任务时讲条件。
朴素无华,俭朴：不浮华。
流落风尘,流落：因生活所迫而留居他乡；风尘：指纷扰的生活。穷困潦倒，漂泊江湖。
海枯石烂,海水干涸、石头腐烂。形容历时久远。比喻坚定的意志永远不变。
按图索骥,索：找；骥：良马。按照画像去寻求好马。比喻墨守成规办事；也比喻按照线索去寻求。
迎头赶上,迎：向着；头：走在前面的。加紧追过最前面的。
大惊失色,非常害怕，脸色都变了。
朗朗上口,谓诵读诗文时的声音响亮而顺口。
一清二楚,十分清楚、明白。
通古博今,同“通今博古”。
骇人听闻,骇：震惊。使人听了非常吃惊、害怕。
老成持重,办事老练稳重，不轻举妄动。
抽薪止沸,抽掉锅底下正燃烧的柴火，使锅里的水不再沸腾。比喻从根本上解决问题
扶正祛邪,祛：去除。扶持正气，去除邪气。现用来指扶持好的事物，纠正错误倾向。
举世皆知,举：全；皆：都。全世界的人都知道。
谋事在人,谋：谋划，安排。根据个人的能力策划事情
无懈可击,懈：松懈，引伸为漏洞、破绽。没有一点弱点可以让人攻击。形容十分严密，找不到一点漏洞。
独步天下,独步：独一无二，特别突出。超群出众，无人可比。
罪加一等,指对罪犯加重处罚。
鸡鸣狗盗,鸣：叫；盗：偷东西。指微不足道的本领。也指偷偷摸摸的行为。
血泪斑斑,血与泪俱在实证物
